As,Bs,encodingRate,parameter
"[ [ 0, 1 ], [ 0, 2 ], [ 1, 3 ] ]","[ [ 0, 3 ], [ 1, 1 ], [ 1, 2 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 1 ], [ 0, 2 ], [ 1, 3 ] ]","[ [ 0, 3 ], [ 1, 4 ], [ 1, 5 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 1 ], [ 0, 2 ], [ 1, 3 ] ]","[ [ 0, 9 ], [ 1, 1 ], [ 1, 2 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 1 ], [ 0, 2 ], [ 1, 3 ] ]","[ [ 0, 9 ], [ 1, 4 ], [ 1, 5 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 2 ], [ 0, 7 ], [ 1, 3 ] ]","[ [ 0, 3 ], [ 1, 1 ], [ 1, 2 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 2 ], [ 0, 7 ], [ 1, 3 ] ]","[ [ 0, 3 ], [ 1, 4 ], [ 1, 5 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 2 ], [ 0, 7 ], [ 1, 3 ] ]","[ [ 0, 9 ], [ 1, 1 ], [ 1, 2 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 2 ], [ 0, 7 ], [ 1, 3 ] ]","[ [ 0, 9 ], [ 1, 4 ], [ 1, 5 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 3 ], [ 1, 1 ], [ 1, 2 ] ]","[ [ 0, 5 ], [ 0, 10 ], [ 1, 3 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 3 ], [ 1, 1 ], [ 1, 2 ] ]","[ [ 0, 10 ], [ 0, 11 ], [ 1, 3 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 3 ], [ 1, 4 ], [ 1, 5 ] ]","[ [ 0, 5 ], [ 0, 10 ], [ 1, 3 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 3 ], [ 1, 4 ], [ 1, 5 ] ]","[ [ 0, 10 ], [ 0, 11 ], [ 1, 3 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 5 ], [ 0, 10 ], [ 1, 3 ] ]","[ [ 0, 9 ], [ 1, 1 ], [ 1, 2 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 5 ], [ 0, 10 ], [ 1, 3 ] ]","[ [ 0, 9 ], [ 1, 4 ], [ 1, 5 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 9 ], [ 1, 1 ], [ 1, 2 ] ]","[ [ 0, 10 ], [ 0, 11 ], [ 1, 3 ] ]",1/24,"[ 144, 12, 12 ]"
"[ [ 0, 9 ], [ 1, 4 ], [ 1, 5 ] ]","[ [ 0, 10 ], [ 0, 11 ], [ 1, 3 ] ]",1/24,"[ 144, 12, 12 ]"
